SHIP_ID,IMO,MMSI,CALLSIGN,SHIPNAME,TYPE_COLOR,LAST_POS,CODE2,COUNTRY,COUNT_PHOTOS,NEXT_PORT_NAME,NEXT_PORT_COUNTRY,NEXT_PORT_ID,ETA,DESTINATION,CURRENT_PORT_COUNTRY,TYPE_SUMMARY,COURSE,LON,LAT,TIMEZONE,ETA_OFFSET,SPEED,ETA_UPDATED,DISTANCE_TO_GO,PORT_ID,CURRENT_PORT,CTA_ROUTE_FORECAST
658311,9283746,422303000,EPA2988,FORTUNE,8,1760460288,IR,IRAN,6,,,,1767720600,FOR ORDER,IR,Tanker,27,56.376747,26.965797,3.5,,0.0,,0,20606,BANDAR ABBAS ANCH,false
5712860,9820312,422232300,EPKG9,NIKI,8,1785490241,IR,IRAN,1,,,,1785231000,PG PORT,,Tanker,213,56.576488,27.013319,3.5,,0.0,,0,,,false
768415,9283758,422304000,EPA2999,FAXON,8,1776535681,IR,IRAN,4,KHARK,IR,1616,1776744000,KHARK,,Tanker,258,55.47448,26.359529,3.5,4,7.5,,0,,,false
5735098,9820336,422232600,EPKH4,PETUNIA,8,1785643694,IR,IRAN,3,,,,1785261600,PG PORT,IR,Tanker,217,50.832092,28.997467,4.5,,0.0,,0,1615,BUSHEHR,false
327287,9309239,306885000,8PJG6,EURO VIKING,8,1785644020,CW,CURACAO,227,,,,1785544200,KFK0-OPL,,Tanker,130,57.051579,25.717066,4.0,,0.3,,0,,,false
712414,9360829,538003073,V7OE6,UMM AL AMAD,8,1785644043,MH,MARSHALL ISLANDS,38,RAS LAFFAN,QA,954,1783839600,RAS LAFFAN,QA,Tanker,150,51.796379,25.82452,3.0,3,0.0,,0,21918,RAS LAFFAN ANCH,false
712703,9224752,538003426,V7QR6,FSO ASIA,8,1785644179,MH,MARSHALL ISLANDS,15,AL SHAHEEN,QA,26248,1777987800,AL SHAHEEN SPM 2,MH,Tanker,,52.036415,26.594074,3.0,3,,,0,23760,FSO ASIA,false
327030,9271896,649621000,TZAS15,VOYAGER HAVEN,8,1785566263,ML,MALI,485,SHINAS,OM,18580,1785412800,"SHINAS, OMAN",,Tanker,6,56.829308,25.007862,4.0,4,0.4,,0,,,false
312335,9230062,538011391,V7A7065,MARIGOLD LNG,8,1784880051,MH,MARSHALL ISLANDS,57,KHOR FAKKAN,AE,18560,1784091600,IN DAH>AE KLF,AE,Tanker,232,56.536381,25.380281,4.0,4,0.1,,0,20586,KHOR FAKKAN ANCH,false
712369,9360855,538003019,V7NU4,AL SAHLA,8,1785600451,MH,MARSHALL ISLANDS,35,,,,1784963220,RLF QA,QA,Tanker,21,51.654747,25.896141,3.0,,2.2,,0,954,RAS LAFFAN,false
