start,end,id,type,position,regions,bounding_box,distances,vessel,loitering
2022-01-01T15:52:07Z,2022-01-01T16:52:18Z,aa624c53b64530491212e4d0aa753a04,loitering,"{'lat': 25.4118, 'lon': 57.17}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['RECOFI', 'IOTC', 'ACAP', 'IWC'], 'fao': ['51.3', '51'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[57.18592666666667, 25.415511666666667, 57.1541316667, 25.4080216667]","{'start_distance_from_shore_km': 43.0, 'end_distance_from_shore_km': 45.0, 'start_distance_from_port_km': 45.384082, 'end_distance_from_port_km': 47.416684000000004}","{'id': 'aff2d7a31-168e-d3d4-c201-1a91d90bb2ff', 'name': 'MONA KH', 'ssvid': '355565000', 'flag': 'PAN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'omn-sohar', 'flag': 'OMN', 'name': None, 'portVisitEventId': '75205859c7544318ce0703a7643fa574'}}","{'total_time_hours': 1.002811111111111, 'total_distance_km': 3.4012175714856814, 'average_speed_knots': 1.8313624045529375, 'average_distance_from_shore_km': 44.39035339975195}"
2022-01-12T13:47:59Z,2022-01-13T15:59:56Z,7e819b641ee97f3285c406aeaa327dd1,loitering,"{'lat': 25.6029, 'lon': 56.9683}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['IWC', 'RECOFI', 'IOTC', 'ACAP'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.97124, 25.6021, 56.965333333333334, 25.603751666666668]","{'start_distance_from_shore_km': 40.0, 'end_distance_from_shore_km': 40.0, 'start_distance_from_port_km': 32.037357, 'end_distance_from_port_km': 32.037357}","{'id': 'a7c2f49a3-3f14-9063-5e94-598c8e670f45', 'name': 'AZARGOUN', 'ssvid': '422039300', 'flag': 'IRN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'egy-suezsouthanchorage', 'flag': 'EGY', 'name': 'SUEZ SOUTH ANCHORAGE', 'portVisitEventId': 'c0bcd362cb66ef2d1f5637d4f116d931'}}","{'total_time_hours': 26.199225, 'total_distance_km': 3.1837251165387417, 'average_speed_knots': 0.06561545377803961, 'average_distance_from_shore_km': 40.00000000000001}"
2022-01-14T16:59:49Z,2022-01-14T21:56:58Z,f3901586f9af97ed318d3be57b9060e3,loitering,"{'lat': 25.6187, 'lon': 56.9272}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['ACAP', 'IOTC', 'RECOFI', 'IWC'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.94706166666667, 25.599738333333335, 56.907295, 25.6377]","{'start_distance_from_shore_km': 41.0, 'end_distance_from_shore_km': 43.0, 'start_distance_from_port_km': 30.096381, 'end_distance_from_port_km': 25.27932}","{'id': 'e8606c6e9-9422-7429-9ced-fccc5a302e84', 'name': 'MIAMI PRIDE', 'ssvid': '422088700', 'flag': 'IRN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'chn-shanghai', 'flag': 'CHN', 'name': 'SHANGHAI', 'portVisitEventId': 'bfdcc710b846417cb79bf4b0091ecfb3'}}","{'total_time_hours': 4.952647222222221, 'total_distance_km': 5.858388232840188, 'average_speed_knots': 0.6387042003342348, 'average_distance_from_shore_km': 42.0893281053973}"
2022-01-18T00:53:59Z,2022-01-19T04:58:25Z,4252ba04fa0f3833aa4f395085f4a0d4,loitering,"{'lat': 25.6028, 'lon': 56.951}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['RECOFI', 'IWC', 'ACAP', 'IOTC'], 'fao': ['51.3', '51'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.95066666666666, 25.603166666666667, 56.9513333333, 25.6025]","{'start_distance_from_shore_km': 41.0, 'end_distance_from_shore_km': 41.0, 'start_distance_from_port_km': 30.096381, 'end_distance_from_port_km': 30.096381}","{'id': '382ac3fde-ea48-a897-42e9-63da9a608dc7', 'name': 'KASHAN', 'ssvid': '422068100', 'flag': 'IRN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'irn-bandarabbas', 'flag': 'IRN', 'name': None, 'portVisitEventId': '8fbfc8cc0d8a1995859de6495bcee8aa'}}","{'total_time_hours': 28.073663888888905, 'total_distance_km': 4.906491689470526, 'average_speed_knots': 0.09436935553955693, 'average_distance_from_shore_km': 40.99999999999997}"
2022-01-19T22:56:21Z,2022-01-20T21:51:29Z,93a28ec2bffadc480b3160ff204d8624,loitering,"{'lat': 25.5805, 'lon': 57.0072}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['IOTC', 'RECOFI', 'ACAP', 'IWC'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.99091833333333, 25.584266666666668, 57.02350833333333, 25.576695]","{'start_distance_from_shore_km': 39.0, 'end_distance_from_shore_km': 37.0, 'start_distance_from_port_km': 34.543844, 'end_distance_from_port_km': 37.293754}","{'id': 'afe91b66a-a0dc-4fc9-a530-7c2fb0af8a97', 'name': 'BEHTA', 'ssvid': '422031300', 'flag': 'IRN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'irn-bandarabbas', 'flag': 'IRN', 'name': None, 'portVisitEventId': '6dbbf6ecca65f37833aacb147e900d20'}}","{'total_time_hours': 22.918719444444438, 'total_distance_km': 8.06185689561382, 'average_speed_knots': 0.18993445466379727, 'average_distance_from_shore_km': 38.34278451695384}"
2022-01-29T08:54:16Z,2022-01-29T12:53:14Z,bd45fe3f8df17cd1bac2df4f419a30a9,loitering,"{'lat': 25.4215, 'lon': 57.2712}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['RECOFI', 'ACAP', 'IWC', 'IOTC'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[57.2821, 25.466533333333334, 57.260333333333335, 25.376383333333333]","{'start_distance_from_shore_km': 35.0, 'end_distance_from_shore_km': 45.0, 'start_distance_from_port_km': 38.918223, 'end_distance_from_port_km': 48.966859}","{'id': '7b3a38fba-ad1f-1129-9784-0cca9dc95167', 'name': 'VIKAN', 'ssvid': '374634000', 'flag': 'PAN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'kwt-minaalahmadi', 'flag': 'KWT', 'name': None, 'portVisitEventId': '3c044ea25f895311b7ed1f7711a22b8c'}}","{'total_time_hours': 3.9829166666666667, 'total_distance_km': 11.114890730744403, 'average_speed_knots': 1.506825618512162, 'average_distance_from_shore_km': 40.054470739270876}"
2022-01-30T13:57:57Z,2022-01-31T23:57:55Z,82f6a72ff29e0f8e4e581b3e61b5913e,loitering,"{'lat': 25.6072, 'lon': 56.9638}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['ACAP', 'IWC', 'IOTC', 'RECOFI'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.963995, 25.607251666666667, 56.963705, 25.607186666666667]","{'start_distance_from_shore_km': 40.0, 'end_distance_from_shore_km': 40.0, 'start_distance_from_port_km': 30.804834, 'end_distance_from_port_km': 30.804834}","{'id': '4a4b34946-61ed-1e96-17a8-532c39f91d25', 'name': 'SHABGOUN', 'ssvid': '422032300', 'flag': 'IRN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'ind-kandla', 'flag': 'IND', 'name': None, 'portVisitEventId': '5b5e5e5c4005bdfe06a20ae09ab31733'}}","{'total_time_hours': 33.999486111111125, 'total_distance_km': 2.8172266527558483, 'average_speed_knots': 0.04474128500239859, 'average_distance_from_shore_km': 39.5548694351919}"
2022-02-02T19:52:00Z,2022-02-03T11:47:09Z,28f3b580530d617886142326e88ac97c,loitering,"{'lat': 25.6429, 'lon': 56.9512}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['IWC', 'IOTC', 'RECOFI', 'ACAP'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.945345, 25.643243333333334, 56.957, 25.642613333333333]","{'start_distance_from_shore_km': 39.0, 'end_distance_from_shore_km': 38.0, 'start_distance_from_port_km': 29.258361, 'end_distance_from_port_km': 30.254371}","{'id': 'cf8ebb4b2-26a5-1c68-3198-35e8a5d46b08', 'name': 'WARTA', 'ssvid': '422040300', 'flag': 'IRN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'ind-mumbai', 'flag': 'IND', 'name': None, 'portVisitEventId': 'a3702dfb029002e590deedc1538a549b'}}","{'total_time_hours': 15.919136111111113, 'total_distance_km': 2.932193412966004, 'average_speed_knots': 0.09945626265950336, 'average_distance_from_shore_km': 39.2159628756272}"
2022-02-04T16:59:09Z,2022-02-07T18:50:07Z,520189198b7cef5fd50d56c946bcf0a5,loitering,"{'lat': 25.6569, 'lon': 56.9498}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['IOTC', 'ACAP', 'IWC', 'RECOFI'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.948155, 25.654686666666667, 56.951355, 25.65906]","{'start_distance_from_shore_km': 39.0, 'end_distance_from_shore_km': 38.0, 'start_distance_from_port_km': 29.151309, 'end_distance_from_port_km': 29.086398000000003}","{'id': '482bde7ab-b36b-c920-a232-f4f18782b27b', 'name': 'SHABDIS', 'ssvid': '422031200', 'flag': 'IRN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'chn-zhuhai', 'flag': 'CHN', 'name': 'ZHUHAI', 'portVisitEventId': '751eac983ba81805fbfe8c498db3297f'}}","{'total_time_hours': 73.8493722222222, 'total_distance_km': 10.477021976674582, 'average_speed_knots': 0.07660375607848795, 'average_distance_from_shore_km': 38.17382389771323}"
2022-02-09T04:51:07Z,2022-02-09T05:54:07Z,99f7638346ea2b3e3beeefae2f05effb,loitering,"{'lat': 25.6386, 'lon': 56.7249}","{'mpa': [], 'eez': ['8360'], 'rfmo': ['IOTC', 'IWC', 'RECOFI', 'ACAP'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.72049333333333, 25.636905, 56.729398333333336, 25.640261666666667]","{'start_distance_from_shore_km': 38.0, 'end_distance_from_shore_km': 39.0, 'start_distance_from_port_km': 6.877198999999999, 'end_distance_from_port_km': 7.768946}","{'id': '20018c000-0c69-186b-75ea-a8fc7b73e813', 'name': 'BR VICTORY', 'ssvid': '356370000', 'flag': 'PAN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'are-khorfakkan', 'flag': 'ARE', 'name': 'KHOR FAKKAN', 'portVisitEventId': '99616763e37c7cb0aaa8107bd6f40c30'}}","{'total_time_hours': 1.0500805555555555, 'total_distance_km': 1.2001517774742054, 'average_speed_knots': 0.6171241948993429, 'average_distance_from_shore_km': 38.3108639633685}"
2022-02-09T06:59:03Z,2022-02-09T16:56:31Z,74e8f5855701b74147d75d4a3f62ed95,loitering,"{'lat': 25.6729, 'lon': 56.778}","{'mpa': [], 'eez': ['8354'], 'rfmo': ['ACAP', 'IWC', 'IOTC', 'RECOFI'], 'fao': ['51.3', '51'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.70902, 25.688391666666668, 56.84706, 25.657415]","{'start_distance_from_shore_km': 37.0, 'end_distance_from_shore_km': 47.0, 'start_distance_from_port_km': 5.481957, 'end_distance_from_port_km': 19.075115}","{'id': '20018c000-0c69-186b-75ea-a8fc7b73e813', 'name': 'BR VICTORY', 'ssvid': '356370000', 'flag': 'PAN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'are-khorfakkan', 'flag': 'ARE', 'name': 'KHOR FAKKAN', 'portVisitEventId': '99616763e37c7cb0aaa8107bd6f40c30'}}","{'total_time_hours': 9.957775, 'total_distance_km': 17.811995414908456, 'average_speed_knots': 0.9658491086012663, 'average_distance_from_shore_km': 43.0689425020342}"
