observed_at,ship_id,shipname,lat,lon,speed_knots,course_deg,heading_deg,rate_of_turn,minutes_since_position,destination,flag,length_m,width_m,dwt,ship_type_code,ship_type,detailed_type_code,nav_status,position_source,url
2026-08-03T05:04:53+00:00,753376,MARAL,27.076756,56.171825,0.1,203.0,100.0,3.0,9.0,B.A. IRN,CW,182.0,32.0,46764.0,8,Tanker,88,,terrestrial,https://www.marinetraffic.com/en/ais/details/ships/shipid:753376
2026-08-03T05:04:53+00:00,457698,CASPIA,27.0261,56.104706,0.0,4.0,70.0,0.0,4.0,PG PORTS,IR,148.0,23.0,19087.0,8,Tanker,16,,terrestrial,https://www.marinetraffic.com/en/ais/details/ships/shipid:457698
2026-08-03T05:04:53+00:00,411532,DELICE,27.036476,56.200802,0.0,97.0,97.0,0.0,8.0,IR BND ANCHRAGE,IR,148.0,23.0,19062.0,8,Tanker,16,,terrestrial,https://www.marinetraffic.com/en/ais/details/ships/shipid:411532
2026-08-03T05:04:53+00:00,730903,JOINVILLE 1,27.051638,56.127968,0.2,186.0,127.0,0.0,13.0,,IR,129.0,22.0,12981.0,8,Tanker,88,,terrestrial,https://www.marinetraffic.com/en/ais/details/ships/shipid:730903
2026-08-03T05:04:53+00:00,1047643,HARBOUR PHOENIX,27.124134,56.23772,0.0,237.0,112.0,0.0,4.0,,PW,114.0,18.0,7625.0,8,Tanker,71,,terrestrial,https://www.marinetraffic.com/en/ais/details/ships/shipid:1047643
2026-08-03T05:04:53+00:00,657920,ATEELA 2,27.064558,56.291439,0.0,56.0,125.0,0.0,7.0,BANDAR.ABBAS,IR,99.0,18.0,6835.0,8,Tanker,71,,terrestrial,https://www.marinetraffic.com/en/ais/details/ships/shipid:657920
2026-08-03T05:04:53+00:00,657918,ATEELA 1,27.107073,56.031799,1.2,262.0,90.0,0.0,579.0,IRZBR,IR,99.0,18.0,6500.0,8,Tanker,71,,terrestrial,https://www.marinetraffic.com/en/ais/details/ships/shipid:657918
2026-08-03T05:04:53+00:00,TmpnMU1qUTFOamcxTWpRMU5qZzFNZz09LXNMMlBHakNHaGd0dURZa0ZOVU5EUnc9PQ==,,27.088333,56.238335,0.0,13.0,,,224.0,,,,,,8,Tanker,,At Anchor,satellite,
2026-08-03T05:04:53+00:00,3566447,BAVAN,27.029129,56.287312,4.0,208.0,210.0,,1087.0,DELICE,IR,90.0,15.0,4261.0,8,Tanker,44,,terrestrial,https://www.marinetraffic.com/en/ais/details/ships/shipid:3566447
2026-08-03T05:04:53+00:00,657980,HAMD,27.009586,56.213581,0.0,318.0,318.0,,24.0,CLASS B,IR,40.0,10.0,750.0,8,Tanker,44,,terrestrial,https://www.marinetraffic.com/en/ais/details/ships/shipid:657980
